1,Siswa datang terlambat ke sekolah karena bangun kesiangan,Punishment
2,Murid dihukum karena telat masuk kelas setelah jam istirahat selesai,Punishment
3,Siswa terlambat menghadiri upacara bendera hari senin karena ban motor bocor,Punishment
4,Siswa sengaja terlambat datang agar terhindar dari razia rambut di gerbang depan,Punishment
5,Siswa melompati pagar belakang sekolah karena datang terlambat tiga puluh menit,Punishment
6,Murid telat mengumpulkan tugas akhir mata pelajaran pemrograman,Punishment
7,Siswa kedapatan nongkrong di warung depan sekolah sehingga terlambat masuk jam pertama,Punishment
8,Siswa datang telat lebih dari satu jam tanpa membawa surat keterangan dari orang tua,Punishment
9,Murid terlambat memasuki laboratorium komputer saat ujian praktek sedang berlangsung,Punishment
10,Siswa dihukum berdiri di lapangan karena datang telat ke sekolah berturut-turut selama tiga hari,Punishment
11,Siswa secara sukarela membersihkan kaca jendela kelas yang berdebu,Reward
12,Murid membuang sampah plastik bekas jajanan sembarangan di koridor sekolah,Punishment
13,Siswa menyapu dan mengepel lantai ruang kelas hingga bersih sebelum pelajaran dimulai,Reward
14,Siswa kedapatan mencoret-coret meja belajar menggunakan tipe-x dan spidol,Punishment
15,Murid merapikan kembali peralatan setelah piket kebersihan selesai,Reward
16,Siswa mengotori dinding toilet sekolah dengan bekas telapak kaki,Punishment
17,Siswa membuang sisa makanan ke dalam tempat sampah organik yang benar,Reward
18,Murid meninggalkan ruang laboratorium dalam keadaan kotor dan penuh sampah kertas,Punishment
19,Siswa membantu menyiram tanaman dan membersihkan rumput liar di taman sekolah,Reward
20,Siswa sengaja menyumbat wastafel tempat cuci tangan dengan bungkus makanan,Punishment
21,Siswa sengaja menendang pintu kelas hingga engselnya rusak dan patah,Punishment
22,Murid kedapatan mencoret-coret dinding lorong sekolah menggunakan piloks,Punishment
23,Siswa merusak saklar lampu di ruang laboratorium komputer saat tidak ada guru,Punishment
24,Siswa mematahkan penggaris kayu panjang milik inventaris kelas dengan sengaja,Punishment
25,Murid kedapatan melempari kaca jendela perpustakaan menggunakan batu hingga retak,Punishment
26,Siswa merobek buku paket pelajaran yang dipinjam dari perpustakaan sekolah,Punishment
27,Siswa sengaja merusak jaring net bola voli di lapangan saat jam olahraga,Punishment
28,Murid mencopot tanaman hias dan merusak pot bunga di koridor depan kelas,Punishment
29,Siswa kedapatan menggores cat mobil milik guru di area parkir menggunakan paku,Punishment
30,Siswa merusak kran air di tempat wudhu mushola hingga patah dan air meluap,Punishment
31,Siswa terbukti membawa minuman beralkohol ke lingkungan sekolah,Punishment
32,Siswa kedapatan menyimpan alkohol saat pemeriksaan sekolah,Punishment
33,Siswa terbukti mengonsumsi minuman keras di area sekolah,Punishment
34,Siswa terlibat penggunaan alkohol berdasarkan laporan guru,Punishment
35,Siswa membawa barang terlarang berupa minuman keras,Punishment
36,Siswa terbukti menggunakan zat terlarang sesuai hasil pemeriksaan,Punishment
37,Siswa kedapatan membawa narkotika ke sekolah,Punishment
38,Siswa terbukti memakai narkoba berdasarkan pembuktian sekolah,Punishment
39,Siswa terlibat penyalahgunaan psikotropika di lingkungan sekolah,Punishment
40,Siswa membawa obat terlarang tanpa izin resmi,Punishment
41,Siswa terbukti menyimpan zat adiktif di tas sekolah,Punishment
42,Siswa kedapatan menggunakan narkotika saat kegiatan sekolah,Punishment
43,Siswa terbukti mengedarkan barang terlarang kepada siswa lain,Punishment
44,Siswa terlibat penjualan minuman keras di lingkungan sekolah,Punishment
45,Siswa menawarkan alkohol kepada peserta didik lain,Punishment
46,Siswa terbukti menjadi perantara barang terlarang,Punishment
47,Siswa mengajak teman menggunakan minuman keras,Punishment
48,Siswa terlibat transaksi barang terlarang di sekolah,Punishment
49,Siswa membawa psikotropika tanpa hak dan izin,Punishment
50,Siswa terbukti menggunakan zat adiktif terlarang,Punishment
51,Siswa kedapatan menyebarkan minuman keras kepada teman,Punishment
52,Siswa terlibat kepemilikan narkotika berdasarkan laporan resmi,Punishment
53,Siswa terbukti melakukan pelanggaran berat terkait alkohol,Punishment
54,Siswa kedapatan memakai obat terlarang saat jam sekolah,Punishment
55,Siswa menyimpan minuman keras di lingkungan sekolah,Punishment
56,Siswa membawa barang terlarang saat kegiatan sekolah berlangsung,Punishment
57,Siswa terbukti terlibat penyalahgunaan zat berbahaya,Punishment
58,Siswa kedapatan membawa psikotropika saat pemeriksaan,Punishment
59,Siswa terlibat penggunaan narkotika bersama teman sekolah,Punishment
60,Siswa terbukti melanggar tata tertib terkait narkoba,Punishment
61,Siswa menggunakan zat terlarang di area sekolah,Punishment
62,Siswa membawa alkohol ketika mengikuti kegiatan sekolah,Punishment
63,Siswa terlibat pelanggaran berat penggunaan minuman keras,Punishment
64,Siswa terbukti menyimpan barang terlarang di loker sekolah,Punishment
65,Siswa kedapatan membawa zat adiktif tanpa izin,Punishment
66,Siswa terbukti mengonsumsi alkohol bersama siswa lain,Punishment
67,Siswa mengedarkan barang terlarang kepada peserta didik,Punishment
68,Siswa terbukti melakukan transaksi barang terlarang,Punishment
69,Siswa terlibat penggunaan psikotropika di sekolah,Punishment
70,Siswa membawa minuman keras saat kegiatan luar sekolah,Punishment
71,Siswa kedapatan memiliki narkotika berdasarkan pemeriksaan,Punishment
72,Siswa terbukti memakai zat berbahaya di lingkungan sekolah,Punishment
73,Siswa terlibat penyebaran alkohol kepada teman sekolah,Punishment
74,Siswa membawa obat terlarang tanpa keterangan medis,Punishment
75,Siswa terbukti melanggar aturan sekolah terkait narkoba,Punishment
76,Siswa kedapatan menyimpan alkohol di tas pribadi,Punishment
77,Siswa menggunakan barang terlarang saat kegiatan sekolah,Punishment
78,Siswa terbukti menjadi pengguna zat adiktif,Punishment
79,Siswa mengajak teman menggunakan barang terlarang,Punishment
80,Siswa terlibat pelanggaran berat terkait psikotropika,Punishment
81,Siswa kedapatan bermain judi online di lingkungan sekolah,Punishment
82,Siswa terbukti melakukan taruhan online saat jam pelajaran,Punishment
83,Siswa menggunakan aplikasi judi online di area sekolah,Punishment
84,Siswa mengakses situs perjudian menggunakan fasilitas sekolah,Punishment
85,Siswa terlibat aktivitas perjudian online bersama teman,Punishment
86,Siswa kedapatan melakukan transaksi judi online,Punishment
87,Siswa terbukti mempromosikan perjudian online kepada siswa lain,Punishment
88,Siswa menyebarkan tautan judi online di grup kelas,Punishment
89,Siswa mengajak teman mengikuti permainan judi online,Punishment
